id,job_title,location,experience_level,education_level,salary
4167,General Affair (Site) Department Head,Jakarta,8,Sarjana,30000000
6078,Hr Manager,Jakarta,8,Sarjana,30000000
19464,Technical Manager (Shipping),Batam,8,Sarjana,30000000
20658,Internal Audit Head - Karawaci,Banten,8,Sarjana,30000000
23475,It Manager,Tangerang,8,Magister,30000000
33292,General Affair Department Head (Jakarta & Kalimantan),Jakarta,8,Sarjana,30000000
1622,Head Of Marketing Oma Elly,Jakarta,7,Sarjana,30000000
2798,Premier Leader (Full Time Leaders),Bali,5,Sarjana,30000000
3715,Premier Leader (Full Time Leaders),Bali,5,Sarjana,30000000
6774,Premier Leader (Full Time Leaders),Bali,5,Sarjana,30000000
7061,Community And Mitra Senior Manager,Jakarta,5,Sarjana,30000000
15127,Premier Leader (Full Time Leaders),Bali,5,Sarjana,30000000
18996,Mill Head,Bekasi,5,Sarjana,30000000
19537,Mill Head,Bekasi,5,Sarjana,30000000
23699,Premier Leader (Full Time Leaders),Bali,5,Sarjana,30000000
27314,Procurement Manager,Jakarta,5,Sarjana,30000000
27815,Branch Manager,Jakarta,5,Sarjana,30000000
30619,Premier Leader (Full Time Leaders),Bali,5,Sarjana,30000000
31142,Data Warehouse Engineer,Jakarta,5,Sarjana,30000000
31200,Premier Leader (Full Time Leaders),Bali,5,Sarjana,30000000
32135,Premier Leader (Full Time Leaders),Bali,5,Sarjana,30000000
34255,Premier Leader (Full Time Leaders),Bali,5,Sarjana,30000000
34318,Premier Leader (Full Time Leaders),Bali,5,Sarjana,30000000
22360,It Business Analyst,Jakarta,4,Sarjana,30000000
25810,Lead Software Engineer (4+ Years),Jakarta,4,Sarjana,30000000
5421,Head Of Erp Project Managers,Jakarta,3,Sarjana,30000000
7229,Training Development Manager,Jakarta,3,Sarjana,30000000
20481,Head Of Sales,Jakarta,3,Sarjana,30000000
19274,Senior Clinical Research Associate,Jakarta,3,Sarjana,29150000
29333,Project Sales Manager - Infrastructure Industry (B-66075),Jakarta,10,Magister,29000000
1947,Direktur Operation (Coo),Sumatera Utara,1,Sarjana,29000000
4635,Direktur Operation (Coo),Sumatera Utara,1,Sarjana,29000000
4740,Direktur Operation (Coo),Sumatera Utara,1,Sarjana,29000000
11752,Direktur Operation (Coo),Sumatera Utara,1,Sarjana,29000000
27936,Direktur Operation (Coo),Sumatera Utara,1,Sarjana,29000000
32659,Direktur Operation (Coo),Sumatera Utara,1,Sarjana,29000000
33583,Direktur Operation (Coo),Sumatera Utara,1,Sarjana,29000000
33784,Direktur Operation (Coo),Sumatera Utara,1,Sarjana,29000000
33856,Direktur Operation (Coo),Sumatera Utara,1,Sarjana,29000000
33910,Direktur Operation (Coo),Sumatera Utara,1,Sarjana,29000000
864,Sales Manager For Iot Industrial,Jakarta,10,Sarjana,28750000
13771,Product Manager (Remote),Aceh,3,Sarjana,28750000
23958,Product Manager (Remote),Aceh,3,Sarjana,28750000
32019,Product Manager (Remote),Aceh,3,Sarjana,28750000
16332,District Sales Manager (Fmcg),Jakarta,4,Sarjana,28000000
20913,District Sales Manager (Fmcg),Jakarta,4,Sarjana,28000000
31995,District Sales Manager (Fmcg),Jakarta,4,Sarjana,28000000
32203,District Sales Manager (Fmcg),Jakarta,4,Sarjana,28000000
33679,District Sales Manager (Fmcg),Jakarta,4,Sarjana,28000000
16756,Accounting & Tax Manager (Tangerang),Jakarta,5,Sarjana,27500000
30238,Regional Sales Head (B2b/B2c),Jakarta,5,Magister,27500000
33663,Fcl Export Import Manager (Id: 541433),Jakarta,5,Sarjana,27500000
32954,Product Game Manager,Jakarta,4,Sarjana,27500000
11387,Hrga Manager - Trading (B-65787),Jakarta,10,Magister,27000000
16622,Business Development Manager,Jakarta,5,Sarjana,27000000
33304,Insurance Claims Assessor,Jakarta,5,Magister,26400000
26159,Group Brand Manager,Jakarta,4,Sarjana,26400000
27911,????,Jakarta,3,Sarjana,26400000
28763,It General Manager,Jakarta,5,Sarjana,25500000
1218,Sales & Marketing Manager,Jakarta,15,Sarjana,25000000
11604,Internal Auditor Senior Manager - Insurance (B-64603),Jakarta,10,Magister,25000000
32391,"Finance, Accounting, Tax Manager (Cikupa, Tangerang)",Cikupa,10,Doktor,25000000
32400,Accounting Manager (Ifrs),Jakarta,10,Sarjana,25000000
34152,Operations Manager,Jakarta,10,Sarjana,25000000
18812,Plant Operation Department Head,Kalimantan Selatan,8,Magister,25000000
20610,Project Utility Manager,Banten,8,Sarjana,25000000
11977,Senior Software Engineer,Jakarta,7,Sarjana,25000000
27896,Senior Category Manager (Fresh),Jakarta,6,Doktor,25000000
26901,Software Development Engineer - Front End,Jakarta,4,Sarjana,25000000
31814,Software Development Engineer - Backend,Jakarta,4,Sarjana,25000000
25809,Operational Manager,Jakarta,3,Magister,25000000
28756,Distribution Sales Manager,Jakarta,3,Magister,25000000
32124,Hr&ga Manager,Jakarta,3,Magister,25000000
33499,Human Resource Manager,Jakarta,3,Sarjana,25000000
24002,Operation Manager For Consultancy Industry,Jakarta,15,Magister,24000000
3870,Product Manager,Jakarta,5,Doktor,24000000
4755,Head Of Marketing,Jakarta,5,Sarjana,24000000
7918,Internal Audit Manager,Jakarta,5,Sarjana,24000000
8992,General Manager (Retail Operation),Bandung,5,Sarjana,24000000
9416,Utility Manager,Citeureup,5,Sarjana,24000000
958,Senior Fullstack Developer (Remote),Bali,3,Sarjana,24000000
1671,Senior Fullstack Developer (Remote),Bali,3,Sarjana,24000000
4115,Senior Fullstack Developer (Remote),Bali,3,Sarjana,24000000
5924,Purchasing Manager - Mandarin Speaking,Jakarta,3,Sarjana,24000000
12787,Back End Developer,Jakarta,3,Sarjana,24000000
22365,Senior Back End Developer-Node Js (Developer Division),Jakarta,3,Sarjana,24000000
34075,Senior Fullstack Developer (Remote),Bali,3,Sarjana,24000000
23609,Blockchain Engineer,Banten,2,Sarjana,24000000
33327,Cfo,Jakarta,2,Magister,24000000
34535,Senior Supply Chain & Logistics Consultant  - Consulting Firm (B-64664),Jakarta,6,Magister,23500000
32313,Operation Manager,Jakarta,4,Sarjana,23500000
16778,Sr. Full Stack Developer,Jakarta,7,Sarjana,23000000
10570,Plant Operation Manager,Samarinda,5,Sarjana,23000000
29661,Sales Manager (Telematics Product),Jakarta,5,Magister,23000000
32692,Sales Manager (Fltration),Jakarta,5,Sarjana,23000000
6706,Oracle Developer,Jakarta,3,Sarjana,23000000
32312,Automation Testing,Jakarta,2,Sarjana,23000000
16181,Front End Engineer,Jakarta,5,Sarjana,22950000
5573,Tax Specialist,Jakarta,10,Doktor,22500000
11707,Project Manager (Civil Engineering),Purwakarta,10,Sarjana,22500000
16660,Workshop & Project Manager,Jawa Barat,10,Sarjana,22500000
34639,B2b Sales Manager - Nespresso (Bali),Bali,7,Sarjana,22500000
1416,It Security Manager,Bekasi,5,Sarjana,22500000
4968,Product Development Project Leader,Tangerang,5,Sarjana,22500000
7058,Sales Manager - Iot Industry (B-64618),Jakarta,5,Magister,22500000
9380,Factory Manager,Tangerang,5,Sarjana,22500000
17331,Test Manager,Jakarta,5,Sarjana,22500000
18484,Clinic General Manager,Jakarta,5,Sarjana,22500000
24432,Operational Manager,Jakarta,5,Sarjana,22500000
27073,Insurance Broker Marketing Manager,Jakarta,5,Sarjana,22500000
27497,Qhse Lead,Jakarta,5,Sarjana,22500000
29589,It Project Manager (Core Banking),Jakarta,5,Magister,22500000
30095,Senior Manager Recruitment Advisor,Jakarta,5,Doktor,22500000
31385,"Senior Account Manager For Software Solution Division - Erp Sap B1, Microsoft365, Azure, Pocessforce, Centrify, Parallels, Claroty & Other Software So",Jakarta,5,Sarjana,22500000
33166,Risk & Kyc Manager (E-Commerce),Jakarta,5,Magister,22500000
33591,Qc Manager - Textiles/Footwear/Apparel,Jawa Barat,5,Sarjana,22500000
33603,Senior Manager Career Advisor,Jakarta,5,Doktor,22500000
33708,Hr Organizational Development Manager,Jakarta,5,Sarjana,22500000
17976,Sap Co Senior Consultant - It Consulting (A-63708),Jakarta,4,Magister,22500000
92,Distribution Center Manager,Jawa Timur,3,Sarjana,22500000
8311,Professional Product Owner,Jakarta,3,Sarjana,22500000
13087,Training Manager,Jakarta,3,Sarjana,22500000
17164,Account Manager - It Software (B-73433),Jakarta,3,Magister,22500000
26280,Migration Specialist,Jakarta,3,Sarjana,22500000
31105,Interface Specialist,Jakarta,3,Sarjana,22500000
6338,Senior Ios Engineer,Jakarta,2,Magister,22500000
34388,Technical Leader (Software Development),Jakarta,2,Sarjana,22500000
4385,Software Engineer Ios,Jakarta,1,Magister,22500000
11876,Interior Project Sales Manager,Jakarta,1,Sarjana,22500000
25191,Hr Senior Consultant - Consultant Firm (B-72919),Jakarta,1,Magister,22500000
28093,Human Resources Business Partner,Jakarta,5,Sarjana,22000000
3444,Clinical Research Associate Ii,Jakarta,1,Sarjana,22000000
34179,It Security Architect,Jakarta,3,Magister,21600000
12234,Marketing Insurance Broker Manager,Jakarta,10,Sarjana,21500000
26486,Senior It Project Manager,Jakarta,10,Magister,21500000
6992,Senior Product Designer,Jakarta,5,Sarjana,21500000
10627,Senior Product Designer,Jakarta,5,Sarjana,21500000
32382,Hr Manager - Placement In Central Kalimantan (Site Area),Kalimantan Tengah,5,Magister,21500000
34285,Plant Manager (Kepala Pabrik),Jakarta,5,Sarjana,21500000
21318,Legal Compliance Manager,Pekanbaru,3,Sarjana,21500000
1713,Senior Finance Accounting Manager (Must Be Ca/Cpa),Cikarang,5,Magister,21000000
13666,Project Manager Baja,Jakarta,5,Magister,21000000
31760,Project Manager Baja,Jakarta,5,Magister,21000000
33866,Project Manager Baja,Jakarta,5,Magister,21000000
32760,Application Manager,Jakarta,8,Sarjana,20500000
13154,Manager Accounting & Finance,Jakarta,2,Sarjana,20500000
5793,Senior Product Owner,Jakarta,5,Sarjana,20400000
11001,Supply Chain Manager,Jawa Timur,5,Sarjana,20400000
32685,Head Of B2b,Jawa Timur,5,Magister,20250000
1111,Maintenance Engineer Manager,Jakarta,10,Sarjana,20000000
11925,Digital Marketing Lead,Jakarta,8,Sarjana,20000000
24858,Senior Software Engineer (Manage Service),Jakarta,7,Sarjana,20000000
29703,Retail Division Manager (Kupang),Kupang,7,Magister,20000000
392,Sales & Promotion Assistant Manager - Property - Tangerang (B-66393),Tangerang,5,Magister,20000000
4961,Center Manager,Jakarta,5,Magister,20000000
17114,Sales Manager System Integrated (Id: 510906),Jakarta,5,Sarjana,20000000
22307,Marketing Manager,Tangerang,5,Sarjana,20000000
32716,Center Manager,Jakarta,5,Magister,20000000
33014,Corporate Secretary,Jakarta,5,Sarjana,20000000
15535,Senior Java Developer (Programmer),Jakarta,4,Sarjana,20000000
17447,Product Owner,Jakarta,4,Sarjana,20000000
2687,Manager Operational Dan Marketing,Jakarta,3,Sarjana,20000000
15007,Security & Loss Prevention Manager,Jakarta,3,Magister,20000000
15036,Accounting Manager,Jakarta,3,Sarjana,20000000
27997,Commercial Manager,Pekanbaru,3,Sarjana,20000000
33308,?????? Cost Accounting Manager,Sulawesi Tengah,3,Magister,20000000
33408,Java Developer,Jakarta,3,Sarjana,20000000
34358,Java Developer,Jakarta,3,Sarjana,20000000
875,Sales Manager Cutting Tools And Machining,Jakarta,5,Sarjana,19550000
1318,Purchasing Manager (Oil And Gas Industry Only) (Jakarta Based),Jakarta,8,Sarjana,19500000
29739,Scrum Master,Jakarta,3,Sarjana,19500000
24833,System Integration Engineer,Jakarta,2,Sarjana,19500000
33462,Project Manager,Kalimantan Tengah,10,Doktor,19000000
25877,Pro Audio & Audio Visual Sales Manager,Jakarta,5,Sarjana,19000000
13625,Senior Monitoring Development Engineer,Jakarta,2,Magister,19000000
22109,Accounting Manager,Bekasi,12,Sarjana,18500000
16725,Data Governance,Jakarta,3,Sarjana,18400000
25232,Ios Developer,Jakarta,3,Sarjana,18400000
34681,Qa Tester,Jakarta,3,Sarjana,18400000
17420,Legal & Compliance Assistant Manager,Jawa Barat,10,Magister,18000000
15383,Senior Finance Manager,Jakarta,7,Sarjana,18000000
22837,Retail Division Manager (Papua),Papua,7,Magister,18000000
34489,Financial Controller,Tangerang,7,Magister,18000000
14955,Construction - Quality Control / Quality Assurance Manager,Malang,5,Sarjana,18000000
15599,"Software Engineer, Full-Stack",Jakarta,5,Magister,18000000
32039,It Support,Jakarta,5,Sarjana,18000000
33864,Manager Finance And Accounting,Jakarta,5,Magister,18000000
34164,Training Manager (Academy Division),Jakarta,5,Magister,18000000
34569,Accounting Manager,Karawang,5,Sarjana,18000000
34638,Dokter K3/Oh Full Time,Cianjur,5,Magister,18000000
34714,Hub Manager - Sindang Jaya (Tangerang),Tangerang,5,Magister,18000000
33898,Hr Junior Manager - Manufacturing (B-73401),Jakarta,4,Magister,18000000
1986,Head Chef De Partie,Aceh,3,Sarjana,18000000
10876,Marketing Manager,Bali,3,Sarjana,18000000
13713,It Project Manager,Jakarta,3,Sarjana,18000000
14925,Head Chef De Partie,Aceh,3,Sarjana,18000000
14971,Head Chef De Partie,Aceh,3,Sarjana,18000000
17251,Head Chef De Partie,Aceh,3,Sarjana,18000000
18506,Investment Manager,Jakarta,3,Magister,18000000
20049,Machine Learning Engineer,Jakarta,3,Sarjana,18000000
21317,Research And Development Manager,Semarang,3,Magister,18000000
21787,Head Of Branch Office - Site,Jakarta,3,Magister,18000000
21793,Research And Development Manager,Semarang,3,Magister,18000000
22517,Head Chef De Partie,Aceh,3,Sarjana,18000000
29225,Head Chef De Partie,Aceh,3,Sarjana,18000000
29549,Supply Chain Planning And Purchasing Specialist,Bali,3,Sarjana,18000000
32377,Head Chef De Partie,Aceh,3,Sarjana,18000000
32388,Building Mgt Manager,Jawa Barat,3,Sarjana,18000000
32491,Head Chef De Partie,Aceh,3,Sarjana,18000000
33129,Head Chef De Partie,Aceh,3,Sarjana,18000000
34064,Gm Operational,Jakarta,3,Sarjana,18000000
34520,Head Chef De Partie,Aceh,3,Sarjana,18000000
6303,Hrd Senior Corporate Planner,Aceh,2,Sarjana,18000000
15614,Hrd Senior Corporate Planner,Aceh,2,Sarjana,18000000
16329,Hrd Senior Corporate Planner,Aceh,2,Sarjana,18000000
18863,Hrd Senior Corporate Planner,Aceh,2,Sarjana,18000000
21500,Hrd Senior Corporate Planner,Aceh,2,Sarjana,18000000
23799,Hrd Senior Corporate Planner,Aceh,2,Sarjana,18000000
30529,Hrd Senior Corporate Planner,Aceh,2,Sarjana,18000000
33939,Hrd Senior Corporate Planner,Aceh,2,Sarjana,18000000
34068,Hrd Senior Corporate Planner,Aceh,2,Sarjana,18000000
34288,Hrd Senior Corporate Planner,Aceh,2,Sarjana,18000000
34694,Backend Engineer (Node.Js),Jakarta,0,Sarjana,18000000
12690,Legal Manager - Financial Services (B-66278),Jakarta,8,Magister,17500000
33464,Hr Manager,Jakarta,8,Magister,17500000
16326,Regional Security Manager,Sumatera Selatan,7,Sarjana,17500000
24866,Regional Security Manager,Sumatera Selatan,7,Sarjana,17500000
2795,Gm Social Digital & Commerce Engagement Operation (Proactive),Jakarta,6,Magister,17500000
813,General Manager Of Operation Divisions,Bekasi,5,Doktor,17500000
2600,Financial Planning Analyst,Jakarta,5,Sarjana,17500000
4535,General Affairs Manager,Jakarta,5,Sarjana,17500000
8930,Operating Lease Assistant Manager,Jakarta,5,Magister,17500000
11556,Senior Channel Marketing Specialist,Jakarta,5,Sarjana,17500000
12789,E-Commerce Manager,Jakarta,5,Sarjana,17500000
16632,Creative Manager,Jakarta,5,Sarjana,17500000
23680,Senior Ui/Ux Designer (Ux Focused),Jakarta,5,Sarjana,17500000
27908,Jakarta Branch Sales Manager,Jakarta,5,Sarjana,17500000
33018,Senior Sales & Business Developement Manager,Jakarta,5,Magister,17500000
33134,Music Instrument Sales Manager,Jakarta,5,Sarjana,17500000
33354,Gm Weaving (Pabrik Tenun),Surakarta,5,Sarjana,17500000
33890,"Sales Engineer (Fluid Power, Kalimantan Or Riau Area)",Kalimantan Timur,5,Sarjana,17500000
34125,"Sales Engineer (Fluid Power, Kalimantan Or Riau Area)",Kalimantan Timur,5,Sarjana,17500000
34146,Audio Sales Manager,Jakarta,5,Sarjana,17500000
23007,Lead Backend Engineer,Jakarta,4,Doktor,17500000
31860,Warehouse And Logistics Manager,Jakarta,4,Sarjana,17500000
4044,Purchasing Manager,Jakarta,3,Magister,17500000
5892,Sales Marketing Supervisor - Steel (B-73480),Jakarta,3,Magister,17500000
6489,Digital Marketing Lead,Jakarta,3,Sarjana,17500000
13472,Technical Project Manager,Jakarta,3,Sarjana,17500000
18779,Online Marketing Executive,Jakarta,3,Sarjana,17500000
25293,Manager Delivery,Jakarta,3,Sarjana,17500000
32293,Hrga  Manager,Medan,3,Magister,17500000
33881,Account Manager,Cikarang,3,Sarjana,17500000
569,Account Executive,Tangerang,2,Sarjana,17500000
1020,Hr/Ga Supervisor (Japanese Speaker N2),Jakarta,2,Sarjana,17500000
23287,Finance Manager,Surabaya,2,Sarjana,17500000
32733,Asst Manager / Manager Maintenance,Tangerang,2,Magister,17500000
33638,Account Executive,Tangerang,2,Sarjana,17500000
11196,Creative Director,Bandung,1,Magister,17500000
20380,Business Transformation Special Task Force,Sidoarjo,0,Magister,17500000
28071,Data Engineer,Jakarta,7,Sarjana,17250000
8054,Offshore Construction Deputy Manager,Kalimantan Timur,5,Sarjana,17250000
1135,Senior Front End Developer,Jakarta,3,Sarjana,17250000
11412,Internal Control Analyst (Jember Based),Jember,3,Sarjana,17250000
32440,System Analyst,Jakarta,2,Sarjana,17250000
34462,Senior Abap Developer,Jakarta,6,Sarjana,17000000
32721,Associate Business Manager - Alternative Trade Channel - Central Sumatera,Jakarta,3,Sarjana,17000000
17070,Human Resource Manager (????????),Bandung,1,Magister,17000000
32457,Marketing Manager,Jakarta,5,Sarjana,16800000
33775,Hr Site Manager,Kutai Barat,15,Sarjana,16500000
16202,Hrga Manager,Cikarang,12,Sarjana,16500000
22572,Procurement & Contract Manager - Process Plant,Jakarta,10,Magister,16500000
32713,Sales Assistant Manager - Textile In Cimahi (Id: 525781),Bandung,10,Sarjana,16500000
14851,Performance Marketing Lead,Jakarta,5,Magister,16500000
18678,Senior Bm (Branch Manager),Jawa Tengah,5,Magister,16500000
23384,It Manager,Surabaya,5,Magister,16500000
32154,Marketing Manager,Jakarta,5,Sarjana,16500000
34335,Marketing Manager,Jakarta,5,Sarjana,16500000
34683,Legal Corporate Secretarial Executive,Jakarta,4,Sarjana,16500000
30911,??????? ??????? ?- Assistant General Manager Sales ( Strong Mandarin And English ),Jakarta,3,Sarjana,16500000
33439,Senior Marketplace Specialist,Jakarta,3,Sarjana,16500000
10237,Fa Section Head,Makassar,2,Sarjana,16500000
32825,Medical Manager,Jakarta,2,Sarjana,16500000
17222,Hr Deputy Manager - Manufacture - Depok (B-73656),Jakarta,10,Magister,16000000
12083,Senior It Business Analyst,Jakarta,7,Sarjana,16000000
33557,Senior It Quality Assurance,Jakarta,7,Sarjana,16000000
33080,Human Capital Departement Head,Jakarta,6,Sarjana,16000000
15038,English Teacher,Jakarta,5,Sarjana,16000000
29692,Hrga Manager - Port Management (Subang) (B-73375),Jawa Barat,5,Magister,16000000
32194,Merchandiser/Buyer Associate Manager,Jakarta,5,Sarjana,16000000
33566,"Manager Ppic, Warehouse, & Finance Accounting",Tangerang,5,Sarjana,16000000
10375,Kepala Divisi Hrga,Depok,3,Sarjana,16000000
18098,Executive Assistant,Jakarta,3,Magister,16000000
18901,Senior Programmer,Yogyakarta,3,Sarjana,16000000
22688,Accounting Assistant Manager,Jawa Barat,3,Sarjana,16000000
25041,Kepala Divisi Hrga,Depok,3,Sarjana,16000000
29901,Area Sales Manager Medan,Medan,3,Sarjana,16000000
31630,Programmer / Erp Technical Consultant Sap Business One ( Sap B1 ),Jakarta,3,Sarjana,16000000
32164,Boga App Crm Manager,Jakarta,3,Sarjana,16000000
33477,Senior Ux/Ui Designer - Mobile App,Jakarta,3,Sarjana,16000000
10914,Qa Consultant,Jakarta,2,Sarjana,16000000
16014,Internal Audit Assistant Manager,Jakarta,7,Doktor,15750000
33808,Internal Audit Assistant Manager,Jakarta,7,Doktor,15750000
28187,Road Engineer,Jakarta,10,Sarjana,15600000
31835,Manager Rnd,Medan,3,Sarjana,15600000
33444,Pre Sales Leader,Jakarta,6,Sarjana,15500000
16458,Sales & Marketing Development Manager,Jakarta,5,Sarjana,15500000
34521,Internal Audit Assistant Manager,Cikarang,5,Sarjana,15500000
21888,Coal Sales Operation Or Coal Traffic Officer,Jakarta,4,Sarjana,15500000
29496,Regional Manager,Jakarta,3,Sarjana,15500000
31958,Business Development Manager,Jakarta,3,Sarjana,15500000
32046,Frontend Developer (Area Jakarta),Jakarta,3,Sarjana,15500000
25118,Backend Developer,Jakarta,2,Sarjana,15500000
32604,Regulatory Junior Manager,Jakarta,2,Sarjana,15500000
9126,Mobile Developer (Area Jakarta),Jakarta,3,Sarjana,15250000
28109,Engineering Manager - Dies & Tool Maker,Cikarang,10,Sarjana,15000000
31825,Accounting Manager,Jakarta,8,Doktor,15000000
25744,Regional Sales Manager,Jakarta,7,Sarjana,15000000
477,Manager Tax & Pajak,Jakarta,5,Sarjana,15000000
1990,Hrd Manager (Cosmetic Manufacturing Company),Jakarta,5,Sarjana,15000000
3695,Distributor Sales Manager (Dsm).Industrial/B2b,Banjar,5,Sarjana,15000000
3843,Sales Manager,Tangerang,5,Sarjana,15000000
6779,Python Backend Developer,Jakarta,5,Sarjana,15000000
12303,Associate,Jakarta,5,Sarjana,15000000
13775,Hrd,Tangerang,5,Magister,15000000
14120,Manager - Payroll Outsourcing Services,Tangerang,5,Sarjana,15000000
20061,Python Backend Developer,Jakarta,5,Sarjana,15000000
20756,Key Account Manager - Machinery (B-63364),Jakarta,5,Magister,15000000
26204,Pimpinan Proyek,Jepara,5,Sarjana,15000000
27626,Supply Chain Manager,Cikarang,5,Doktor,15000000
29467,Distributor Sales Manager (Dsm).Industrial/B2b,Banjar,5,Sarjana,15000000
31987,Python Backend Developer,Jakarta,5,Sarjana,15000000
34181,Branding Manager,Tangerang,5,Magister,15000000
34195,Prudential Business Management Program,Jakarta,5,Sarjana,15000000
34595,Python Backend Developer,Jakarta,5,Sarjana,15000000
34666,Merchandising Manager,Bekasi,5,Magister,15000000
33113,Senior Programmer (Technical Lead),Jakarta,4,Sarjana,15000000
4357,Sales Manager Logistic Supply Chain (Jabodetabek Area),Jakarta,3,Sarjana,15000000
4524,Golang Developer,Bandung,3,Sarjana,15000000
6007,Sales Manager Logistic Supply Chain (Jabodetabek Area),Jakarta,3,Sarjana,15000000
7100,Sales Marketing Manager,Jakarta,3,Sarjana,15000000
8096,Sales Manager Logistic Supply Chain (Jabodetabek Area),Jakarta,3,Sarjana,15000000
8156,Product Manager,Jakarta,3,Magister,15000000
9648,Flexi Staffing Insurance Advisor,Jakarta,3,Sarjana,15000000
12280,Business Development Manager - Fleet (Commercial Vehicle Lubricant) Segment,Jakarta,3,Sarjana,15000000
12726,Warehouse Sales Manager (West Java / Central Java),Jakarta,3,Sarjana,15000000
13056,"Sales Manager Logistic Supply Chain (Lampung, Medan, Padang, Aceh, Palembang, Pekanbaru)",Medan,3,Sarjana,15000000
13839,Digital Ads Specialist,Jakarta,3,Sarjana,15000000
13912,"Sales Manager Logistic Supply Chain (Lampung, Medan, Padang, Aceh, Palembang, Pekanbaru)",Medan,3,Sarjana,15000000
14042,Product Manager,Jakarta,3,Magister,15000000
15541,Business Development - Commercial Property (B-72639),Jakarta,3,Magister,15000000
15832,Senior Ux Engineer (Min 3 Years In Ux Engineer/Frontend),Jakarta,3,Sarjana,15000000
16658,Java Backend,Jakarta,3,Magister,15000000
17535,"Sales Manager Logistic Supply Chain (Bandung, Yogyakarta, Semarang, Solo, Surabaya)",Jakarta,3,Sarjana,15000000
17630,Head Of Research & Development Rubber Compounder,Jakarta,3,Sarjana,15000000
20576,"Sales Manager Logistic Supply Chain (Bandung, Yogyakarta, Semarang, Solo, Surabaya)",Jakarta,3,Sarjana,15000000
21968,Product Manager,Jakarta,3,Sarjana,15000000
21986,Anti Fraud Specialist,Jakarta,3,Sarjana,15000000
23310,Warehouse Sales Manager (West Java / Central Java),Jakarta,3,Sarjana,15000000
23441,Associate Business Manager (Gt) - Cimahi,Cimahi,3,Magister,15000000
27138,Manager Produksi (Cosmetic Manufacture Company),Bogor,3,Sarjana,15000000
28668,Sales Manager Logistic Supply Chain (Jabodetabek Area),Jakarta,3,Sarjana,15000000
28719,"Sales Manager Logistic Supply Chain (Lampung, Medan, Padang, Aceh, Palembang, Pekanbaru)",Medan,3,Sarjana,15000000
31408,Golang Developer,Bandung,3,Sarjana,15000000
32033,"Sales Manager Logistic Supply Chain (Lampung, Medan, Padang, Aceh, Palembang, Pekanbaru)",Medan,3,Sarjana,15000000
32245,It Project Manager,Jakarta,3,Sarjana,15000000
32252,Recruitment Supervisor,Jakarta,3,Sarjana,15000000
32316,Warehouse Sales Manager (West Java / Central Java),Jakarta,3,Sarjana,15000000
32325,"Sales Manager Logistic Supply Chain (Lampung, Medan, Padang, Aceh, Palembang, Pekanbaru)",Medan,3,Sarjana,15000000
32786,Warehouse Sales Manager (West Java / Central Java),Jakarta,3,Sarjana,15000000
